state_name,state_code,district_name,district_code,subdistrict_name,subdistrict_code,cluster_name,village_name,udise_village_code,pincode,ward,school_name,udise_school_code,school_category,school_type,management,year_of_establishment,longitude,latitude,status,location_type,class_from,class_to,aff_board_sec,aff_board_h_sec,pre_primary,class_rooms,other_rooms,total_teachers,pre_primary_students,i_students,ii_students,iii_students,iv_students,v_students,vi_students,vii_students,viii_students,ix_students,x_students,xi_students,xii_students,class_students,class_with_pre_primary_students
"Gujarat","24","Rajkot","457","Vinchhiya","7133","Pipardi Kumar Tal.Pri School","Asalpur","240916006","360055","","GOVT. SECONDARY SCHOOL","24091600602","Secondary Only","Co. Educational","Department of Education","2016","71.47432","22.16764","Operational","Rural","9.0","10.0","State Board","","0.0","2.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","28.0","17.0","0.0","0.0","45.0","45.0"
"Odisha","21","Kandhamal","359","","None","Govt. Pups, Kotagarh","Kotagada","212107051","","","SANJOS ENGLISH MEDIUM SCHOOL, KOTAGARH","21210705181","Primary with Upper Primary","Co. Educational","Private Unaided (Recognized)","2009","83.724731","19.844987","Operational","Rural","1.0","8.0","","","0.0","9.0","0.0","12.0","0.0","0.0","32.0","20.0","29.0","15.0","8.0","10.0","0.0","0.0","0.0","0.0","0.0","114.0","114.0"
"Madhya Pradesh","23","Singrauli","638","","None","Hrs Waidhan Excelency","Nagar Nigam (S) Ward 40","235008221","486886","NAGAR NIGAM (S) WARD 40","PRIVT E-COAL INTERNATIONAL SCHOOL WAIDHAN","23500822123","Primary with Upper Primary","Co. Educational","Private Unaided (Recognized)","2017","82.624719","24.062961","Operational","Urban","1.0","8.0","","","2.0","23.0","10.0","26.0","201.0","83.0","73.0","57.0","54.0","33.0","23.0","18.0","19.0","0.0","0.0","0.0","0.0","360.0","561.0"
"Karnataka","29","Kodagu","541","Madikeri","5861","Cherambane","Kolagadalu","292501046","","","GHPS CHOOL KOLAGADALU","29250104601","Primary with Upper Primary","Co. Educational","Department of Education","1982","75.631","12.383","Operational","Rural","1.0","7.0","","","0.0","7.0","1.0","2.0","0.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","3.0"
"Maharashtra","27","Nashik","487","","None","Musalgaon","Kundewadi Khurd","272012066","422103","","S.G.PUBLIC SCHOOL(PRI ENG MED)","27201206603","Primary with Upper Primary","Co. Educational","Private Unaided (Recognized)","1992","74.024046","19.849071","Operational","Rural","1.0","7.0","","","8.0","9.0","8.0","9.0","0.0","50.0","55.0","67.0","52.0","40.0","52.0","45.0","0.0","0.0","0.0","0.0","0.0","361.0","361.0"
"Rajasthan","08","Bhilwara","092","","None","Uceeo10213- Gsss Jahazpur (222620)","Ward No. 7","82410267","311201","","SUNRISE PUBLIC SS WARD NO. 7","8241026703","Pri. Upper Pri. and Secondary Only","Co. Educational","Private Unaided (Recognized)","2001","75.277651","25.617837","Operational","Rural","1.0","10.0","State Board","","0.0","10.0","10.0","11.0","12.0","14.0","14.0","11.0","18.0","11.0","11.0","17.0","16.0","19.0","19.0","0.0","0.0","150.0","162.0"
"Madhya Pradesh","23","Chhindwara","399","Parasia","3797","Jsk Hss Nutan Chikhli (23430302836)","Jatachhapar","234303022","480449","","GOVT. PS JATACHHAPAR BASTI","23430302202","Primary","Co. Educational","Department of Education","1956","78.714443","22.21598","Operational","Rural","1.0","5.0","","","0.0","5.0","0.0","2.0","0.0","5.0","12.0","7.0","10.0","9.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","43.0","43.0"
"Haryana","06","Rewari","072","","None","Gsss Mm Bhalkhi","Mm Bhalkhi","61703045","123102","","M.D. MAJRA BHALKHI","6170304504","Primary with Upper Primary","Co. Educational","Private Unaided (Recognized)","2000","76.421533","28.1751","Operational","Rural","1.0","8.0","","","0.0","10.0","4.0","10.0","0.0","10.0","16.0","23.0","23.0","34.0","16.0","25.0","0.0","0.0","0.0","0.0","0.0","147.0","147.0"
"Chhattisgarh","22","Bastar","374","Darbha","3594","Koleng","Darbha","221504071","","","GOVT. PS MUNDAGARH KACHIRRAS","22150407107","Primary","Co. Educational","Department of Education","1998","82.0461","18.7631","Operational","Rural","1.0","5.0","","","0.0","3.0","3.0","2.0","0.0","2.0","7.0","8.0","1.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","23.0","23.0"
"Punjab","03","Jalandhar","034","","None","Gps Lohian Khass (Boy)","Motipur","30407060","","","MAJOR INDER SINGH PUBLIC SCHOOL, MOTIPUR, SHAHKOT","3040706002","Pri. Upper Pri. and Secondary Only","Co. Educational","Unrecognized","2010","75.279231","31.181767","Operational","Rural","1.0","10.0","CBSE","","1.0","16.0","7.0","12.0","69.0","23.0","32.0","33.0","29.0","31.0","21.0","15.0","27.0","23.0","40.0","0.0","0.0","274.0","343.0"
